# Assembly Statistics Report
# Assembly name:  fErpCal1.1
# Organism name:  Erpetoichthys calabaricus (reedfish)
# Taxid:          27687
# BioSample:      SAMEA104026374
# BioProject:     PRJEB31579
# Submitter:      SC
# Date:           2019-03-26
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    CAADRL01
# Genome coverage: 51x
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_900747795.2
# RefSeq assembly accession: GCF_900747795.1
# RefSeq assembly and GenBank assemblies identical: no
# Reporting on RefSeq assembly.
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_900747794.2	GCF_900747794.1	Primary Assembly
## 	GCF_004769045.1	non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
Primary Assembly	1	Chromosome	unlocalized-scaffold	total-length	7678680
Primary Assembly	1	Chromosome	unlocalized-scaffold	ungapped-length	4457718
Primary Assembly	1	Chromosome	unlocalized-scaffold	spanned-gaps	17
Primary Assembly	1	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	2	Chromosome	all	total-length	349406900
Primary Assembly	2	Chromosome	all	ungapped-length	323988100
Primary Assembly	2	Chromosome	all	spanned-gaps	432
Primary Assembly	2	Chromosome	all	unspanned-gaps	0
Primary Assembly	2	Chromosome	assembled-molecule	total-length	332461053
Primary Assembly	2	Chromosome	assembled-molecule	ungapped-length	310752703
Primary Assembly	2	Chromosome	assembled-molecule	spanned-gaps	399
Primary Assembly	2	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	total-length	16945847
Primary Assembly	2	Chromosome	unlocalized-scaffold	ungapped-length	13235397
Primary Assembly	2	Chromosome	unlocalized-scaffold	spanned-gaps	33
Primary Assembly	2	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	3	Chromosome	all	total-length	312125791
Primary Assembly	3	Chromosome	all	ungapped-length	286998137
Primary Assembly	3	Chromosome	all	spanned-gaps	436
Primary Assembly	3	Chromosome	all	unspanned-gaps	0
Primary Assembly	3	Chromosome	assembled-molecule	total-length	309313702
Primary Assembly	3	Chromosome	assembled-molecule	ungapped-length	285340281
Primary Assembly	3	Chromosome	assembled-molecule	spanned-gaps	429
Primary Assembly	3	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	total-length	2812089
Primary Assembly	3	Chromosome	unlocalized-scaffold	ungapped-length	1657856
Primary Assembly	3	Chromosome	unlocalized-scaffold	spanned-gaps	7
Primary Assembly	3	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	4	Chromosome	all	total-length	326283616
Primary Assembly	4	Chromosome	all	ungapped-length	306206804
Primary Assembly	4	Chromosome	all	spanned-gaps	457
Primary Assembly	4	Chromosome	all	unspanned-gaps	0
Primary Assembly	4	Chromosome	assembled-molecule	total-length	293870033
Primary Assembly	4	Chromosome	assembled-molecule	ungapped-length	282767910
Primary Assembly	4	Chromosome	assembled-molecule	spanned-gaps	378
Primary Assembly	4	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	4	Chromosome	unlocalized-scaffold	total-length	32413583
Primary Assembly	4	Chromosome	unlocalized-scaffold	ungapped-length	23438894
Primary Assembly	4	Chromosome	unlocalized-scaffold	spanned-gaps	79
Primary Assembly	4	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	5	Chromosome	all	total-length	247998699
Primary Assembly	5	Chromosome	all	ungapped-length	231455811
Primary Assembly	5	Chromosome	all	spanned-gaps	342
Primary Assembly	5	Chromosome	all	unspanned-gaps	0
Primary Assembly	5	Chromosome	assembled-molecule	total-length	232056431
Primary Assembly	5	Chromosome	assembled-molecule	ungapped-length	220984978
Primary Assembly	5	Chromosome	assembled-molecule	spanned-gaps	306
Primary Assembly	5	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	5	Chromosome	unlocalized-scaffold	total-length	15942268
Primary Assembly	5	Chromosome	unlocalized-scaffold	ungapped-length	10470833
Primary Assembly	5	Chromosome	unlocalized-scaffold	spanned-gaps	36
Primary Assembly	5	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	6	Chromosome	all	total-length	216311125
Primary Assembly	6	Chromosome	all	ungapped-length	203162956
Primary Assembly	6	Chromosome	all	spanned-gaps	280
Primary Assembly	6	Chromosome	all	unspanned-gaps	0
Primary Assembly	6	Chromosome	assembled-molecule	total-length	209933285
Primary Assembly	6	Chromosome	assembled-molecule	ungapped-length	198008184
Primary Assembly	6	Chromosome	assembled-molecule	spanned-gaps	266
Primary Assembly	6	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	6	Chromosome	unlocalized-scaffold	total-length	6377840
Primary Assembly	6	Chromosome	unlocalized-scaffold	ungapped-length	5154772
Primary Assembly	6	Chromosome	unlocalized-scaffold	spanned-gaps	14
Primary Assembly	6	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	7	Chromosome	all	total-length	199226436
Primary Assembly	7	Chromosome	all	ungapped-length	187336947
Primary Assembly	7	Chromosome	all	spanned-gaps	284
Primary Assembly	7	Chromosome	all	unspanned-gaps	0
Primary Assembly	7	Chromosome	assembled-molecule	total-length	199226436
Primary Assembly	7	Chromosome	assembled-molecule	ungapped-length	187336947
Primary Assembly	7	Chromosome	assembled-molecule	spanned-gaps	284
Primary Assembly	7	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	7	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	7	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	7	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	7	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	8	Chromosome	all	total-length	197106406
Primary Assembly	8	Chromosome	all	ungapped-length	189510732
Primary Assembly	8	Chromosome	all	spanned-gaps	260
Primary Assembly	8	Chromosome	all	unspanned-gaps	0
Primary Assembly	8	Chromosome	assembled-molecule	total-length	197106406
Primary Assembly	8	Chromosome	assembled-molecule	ungapped-length	189510732
Primary Assembly	8	Chromosome	assembled-molecule	spanned-gaps	260
Primary Assembly	8	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	8	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	8	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	8	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	8	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	9	Chromosome	all	total-length	195124633
Primary Assembly	9	Chromosome	all	ungapped-length	184273439
Primary Assembly	9	Chromosome	all	spanned-gaps	279
Primary Assembly	9	Chromosome	all	unspanned-gaps	0
Primary Assembly	9	Chromosome	assembled-molecule	total-length	195124633
Primary Assembly	9	Chromosome	assembled-molecule	ungapped-length	184273439
Primary Assembly	9	Chromosome	assembled-molecule	spanned-gaps	279
Primary Assembly	9	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	9	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	9	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	9	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	9	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	10	Chromosome	all	total-length	172872454
Primary Assembly	10	Chromosome	all	ungapped-length	167188721
Primary Assembly	10	Chromosome	all	spanned-gaps	222
Primary Assembly	10	Chromosome	all	unspanned-gaps	0
Primary Assembly	10	Chromosome	assembled-molecule	total-length	172872454
Primary Assembly	10	Chromosome	assembled-molecule	ungapped-length	167188721
Primary Assembly	10	Chromosome	assembled-molecule	spanned-gaps	222
Primary Assembly	10	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	10	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	10	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	10	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	10	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	11	Chromosome	all	total-length	165569754
Primary Assembly	11	Chromosome	all	ungapped-length	155869887
Primary Assembly	11	Chromosome	all	spanned-gaps	238
Primary Assembly	11	Chromosome	all	unspanned-gaps	0
Primary Assembly	11	Chromosome	assembled-molecule	total-length	165569754
Primary Assembly	11	Chromosome	assembled-molecule	ungapped-length	155869887
Primary Assembly	11	Chromosome	assembled-molecule	spanned-gaps	238
Primary Assembly	11	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	11	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	11	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	11	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	11	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	12	Chromosome	all	total-length	163428598
Primary Assembly	12	Chromosome	all	ungapped-length	158255434
Primary Assembly	12	Chromosome	all	spanned-gaps	198
Primary Assembly	12	Chromosome	all	unspanned-gaps	0
Primary Assembly	12	Chromosome	assembled-molecule	total-length	163428598
Primary Assembly	12	Chromosome	assembled-molecule	ungapped-length	158255434
Primary Assembly	12	Chromosome	assembled-molecule	spanned-gaps	198
Primary Assembly	12	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	12	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	12	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	12	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	12	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	13	Chromosome	all	total-length	146000024
Primary Assembly	13	Chromosome	all	ungapped-length	139784624
Primary Assembly	13	Chromosome	all	spanned-gaps	202
Primary Assembly	13	Chromosome	all	unspanned-gaps	0
Primary Assembly	13	Chromosome	assembled-molecule	total-length	141079645
Primary Assembly	13	Chromosome	assembled-molecule	ungapped-length	135067284
Primary Assembly	13	Chromosome	assembled-molecule	spanned-gaps	193
Primary Assembly	13	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	13	Chromosome	unlocalized-scaffold	total-length	4920379
Primary Assembly	13	Chromosome	unlocalized-scaffold	ungapped-length	4717340
Primary Assembly	13	Chromosome	unlocalized-scaffold	spanned-gaps	9
Primary Assembly	13	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	14	Chromosome	all	total-length	111844246
Primary Assembly	14	Chromosome	all	ungapped-length	106061130
Primary Assembly	14	Chromosome	all	spanned-gaps	135
Primary Assembly	14	Chromosome	all	unspanned-gaps	0
Primary Assembly	14	Chromosome	assembled-molecule	total-length	111844246
Primary Assembly	14	Chromosome	assembled-molecule	ungapped-length	106061130
Primary Assembly	14	Chromosome	assembled-molecule	spanned-gaps	135
Primary Assembly	14	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	14	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	14	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	14	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	14	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	15	Chromosome	all	total-length	103228439
Primary Assembly	15	Chromosome	all	ungapped-length	97504817
Primary Assembly	15	Chromosome	all	spanned-gaps	158
Primary Assembly	15	Chromosome	all	unspanned-gaps	0
Primary Assembly	15	Chromosome	assembled-molecule	total-length	103228439
Primary Assembly	15	Chromosome	assembled-molecule	ungapped-length	97504817
Primary Assembly	15	Chromosome	assembled-molecule	spanned-gaps	158
Primary Assembly	15	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	15	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	15	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	15	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	15	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	16	Chromosome	all	total-length	102189247
Primary Assembly	16	Chromosome	all	ungapped-length	98740383
Primary Assembly	16	Chromosome	all	spanned-gaps	127
Primary Assembly	16	Chromosome	all	unspanned-gaps	0
Primary Assembly	16	Chromosome	assembled-molecule	total-length	102189247
Primary Assembly	16	Chromosome	assembled-molecule	ungapped-length	98740383
Primary Assembly	16	Chromosome	assembled-molecule	spanned-gaps	127
Primary Assembly	16	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	16	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	16	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	16	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	16	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	17	Chromosome	all	total-length	100832283
Primary Assembly	17	Chromosome	all	ungapped-length	90583056
Primary Assembly	17	Chromosome	all	spanned-gaps	141
Primary Assembly	17	Chromosome	all	unspanned-gaps	0
Primary Assembly	17	Chromosome	assembled-molecule	total-length	100832283
Primary Assembly	17	Chromosome	assembled-molecule	ungapped-length	90583056
Primary Assembly	17	Chromosome	assembled-molecule	spanned-gaps	141
Primary Assembly	17	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	17	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	17	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	17	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	17	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	18	Chromosome	all	total-length	88365115
Primary Assembly	18	Chromosome	all	ungapped-length	85991895
Primary Assembly	18	Chromosome	all	spanned-gaps	88
Primary Assembly	18	Chromosome	all	unspanned-gaps	0
Primary Assembly	18	Chromosome	assembled-molecule	total-length	88365115
Primary Assembly	18	Chromosome	assembled-molecule	ungapped-length	85991895
Primary Assembly	18	Chromosome	assembled-molecule	spanned-gaps	88
Primary Assembly	18	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	18	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	18	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	18	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	18	Chromosome	unlocalized-scaffold	unspanned-gaps	0
non-nuclear	all	all	all	total-length	16674
non-nuclear	all	all	all	ungapped-length	16674
non-nuclear	all	all	all	spanned-gaps	0
non-nuclear	all	all	all	unspanned-gaps	0
non-nuclear	all	all	assembled-molecule	total-length	16674
non-nuclear	all	all	assembled-molecule	ungapped-length	16674
non-nuclear	all	all	assembled-molecule	spanned-gaps	0
non-nuclear	all	all	assembled-molecule	unspanned-gaps	0
non-nuclear	all	all	unlocalized-scaffold	total-length	0
non-nuclear	all	all	unlocalized-scaffold	ungapped-length	0
non-nuclear	all	all	unlocalized-scaffold	spanned-gaps	0
non-nuclear	all	all	unlocalized-scaffold	unspanned-gaps	0
non-nuclear	MT	Mitochondrion	all	total-length	16674
non-nuclear	MT	Mitochondrion	all	ungapped-length	16674
non-nuclear	MT	Mitochondrion	all	spanned-gaps	0
non-nuclear	MT	Mitochondrion	all	unspanned-gaps	0
non-nuclear	MT	Mitochondrion	assembled-molecule	total-length	16674
non-nuclear	MT	Mitochondrion	assembled-molecule	ungapped-length	16674
non-nuclear	MT	Mitochondrion	assembled-molecule	spanned-gaps	0
non-nuclear	MT	Mitochondrion	assembled-molecule	unspanned-gaps	0
non-nuclear	MT	Mitochondrion	unlocalized-scaffold	total-length	0
non-nuclear	MT	Mitochondrion	unlocalized-scaffold	ungapped-length	0
non-nuclear	MT	Mitochondrion	unlocalized-scaffold	spanned-gaps	0
non-nuclear	MT	Mitochondrion	unlocalized-scaffold	unspanned-gaps	0
